smiles,pIC50,activity_label
CCO[C@@H]1CC(CCO)N(C(=O)c2cc(OC)c3oc(NC(CF)c4cccc(Cl)c4)nc3c2)C1,8.958607314841775,Active
COc1cc(C(=O)N2CC(C)(C)OCC2CO)cc2nc(N[C@H](CF)c3cccc(Cl)c3)oc12,8.958607314841775,Active
CCCC(CCC)C(=O)N[C@@H](CC(=O)OC)C(=O)N1CCC[C@@H]1C(=O)N[C@H]1CCCC(C(=N)N)C1O,8.958607314841775,Active
COC(=O)c1ccccc1CS(=O)(=O)N[C@H]1CCCCN(CC(=O)N[C@H]2CCCC(C(=N)N)C2O)C1=O,8.950781977329818,Active
Cn1c(CNc2ccc(C(=N)N)cc2F)nc2cc(C(=O)N(CCC(=O)O)c3cc(F)cc(F)c3)ccc21,8.928117992693874,Active
CCCC(CCC)C(=O)N[C@@H](CC(=O)OC)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N,8.920818753952375,Active
COc1cc(C(=O)N2CC(C)OCC2CCO)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,8.920818753952375,Active
N=C(N)NCCC[C@@H](CCl)NC(=O)[C@@H]1CCN2CC[C@@](N)(Cc3ccccc3)CN12,8.920818753952375,Active
N=C(N)c1coc(CNC(=O)[C@@H]2C=CCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)c1,8.88941028970075,Active
N=C(N)c1csc(CNC(=O)[C@@H]2C=CCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)n1,8.856985199745905,Active
COc1cc(C)c(S(=O)(=O)NC[C@@H](O)[C@H](Cc2ccccc2)NCc2cc(Cl)ccc2-n2cnnn2)c(C)c1C,8.853871964321762,Active
COc1cc(C(=O)N2C[C@@H](C)OC[C@H]2C2CC(O)C2)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,8.853871964321762,Active
COc1cc(C(=O)N2CC(C)OCC2C2CC(O)C2)cc2nc(N[C@H](CF)c3cccc(Cl)c3)oc12,8.853871964321762,Active
Cc1cccc(N(CCC(=O)O)C(=O)c2ccc3c(c2)nc(CNc2ccc(C(=N)N)cc2F)n3C)n1,8.847711655616944,Active
NC(N)=NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1)C(=O)c1nccs1,8.823908740944319,Active
NC(N)=NCCC[C@@H](CCl)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1,8.823908740944319,Active
N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1)C(=O)CCl,8.823908740944319,Active
Cc1cccc(N(CCC(=O)O)C(=O)c2ccc3c(c2)nc(CNc2ccc(C(=N)N)cc2F)n3C)c1C,8.812479279163536,Active
COc1cc(C(=O)N2CC(C)OCC2C2CC(O)C2)cc2nc(N[C@@H](CF)c3cccc(Cl)c3)oc12,8.795880017344075,Active
